TIMESTAMP,FORECAST
20180301 01:00,0.783295795
20180301 02:00,0.783295795
20180301 03:00,0.768775332
20180301 04:00,0.703773214
20180301 05:00,0.622814825
20180301 06:00,0.666903023
20180301 07:00,0.684660717
20180301 08:00,0.693775841
20180301 09:00,0.812702524
20180301 10:00,0.809582038
20180301 11:00,0.844764597
20180301 12:00,0.843482276
20180301 13:00,0.829641465
20180301 14:00,0.868232337
20180301 15:00,0.82301494
20180301 16:00,0.844752774
20180301 17:00,0.768354032
20180301 18:00,0.653168625
20180301 19:00,0.657249318
20180301 20:00,0.646269968
20180301 21:00,0.619981267
20180301 22:00,0.615447686
20180301 23:00,0.623214501
20180302 00:00,0.586374283
20180302 01:00,0.612138488
20180302 02:00,0.478267644
20180302 03:00,0.51043571
20180302 04:00,0.487916754
20180302 05:00,0.558635048
20180302 06:00,0.593649496
20180302 07:00,0.633653462
20180302 08:00,0.621348939
20180302 09:00,0.69699488
20180302 10:00,0.807508774
20180302 11:00,0.85616967
20180302 12:00,0.827406318
20180302 13:00,0.7908699
20180302 14:00,0.824396394
20180302 15:00,0.814913666
20180302 16:00,0.657322244
20180302 17:00,0.503385209
20180302 18:00,0.497036666
20180302 19:00,0.459957423
20180302 20:00,0.594357706
20180302 21:00,0.593963813
20180302 22:00,0.641442456
20180302 23:00,0.583468597
20180303 00:00,0.487706533
20180303 01:00,0.502921463
20180303 02:00,0.439278398
20180303 03:00,0.438748729
20180303 04:00,0.433908459
20180303 05:00,0.51676985
20180303 06:00,0.5155722
20180303 07:00,0.528957303
20180303 08:00,0.52918002
20180303 09:00,0.544997814
20180303 10:00,0.46018523
20180303 11:00,0.464441041
20180303 12:00,0.612918163
20180303 13:00,0.667913729
20180303 14:00,0.70165288
20180303 15:00,0.663383528
20180303 16:00,0.603835583
20180303 17:00,0.506473677
20180303 18:00,0.490294218
20180303 19:00,0.490437558
20180303 20:00,0.518775385
20180303 21:00,0.617651836
20180303 22:00,0.711709043
20180303 23:00,0.688357519
20180304 00:00,0.602167136
20180304 01:00,0.720584529
20180304 02:00,0.732920307
20180304 03:00,0.693792578
20180304 04:00,0.66916693
20180304 05:00,0.597981071
20180304 06:00,0.620111378
20180304 07:00,0.666049691
20180304 08:00,0.728269055
20180304 09:00,0.779930458
20180304 10:00,0.743444347
20180304 11:00,0.741681207
20180304 12:00,0.732439474
20180304 13:00,0.7220764
20180304 14:00,0.655934507
20180304 15:00,0.635967142
20180304 16:00,0.582567473
20180304 17:00,0.577878382
20180304 18:00,0.562942239
20180304 19:00,0.626352645
20180304 20:00,0.576497576
20180304 21:00,0.494926017
20180304 22:00,0.545119517
20180304 23:00,0.493210098
20180305 00:00,0.537908609
20180305 01:00,0.590403247
20180305 02:00,0.573567085
20180305 03:00,0.619797109
20180305 04:00,0.643888197
20180305 05:00,0.691787604
20180305 06:00,0.723494763
20180305 07:00,0.794330198
20180305 08:00,0.784477564
20180305 09:00,0.785388632
20180305 10:00,0.789880778
20180305 11:00,0.873895085
20180305 12:00,0.753227754
20180305 13:00,0.724407425
20180305 14:00,0.768936441
20180305 15:00,0.783309669
20180305 16:00,0.819169689
20180305 17:00,0.757917799
20180305 18:00,0.689434311
20180305 19:00,0.597307522
20180305 20:00,0.524263642
20180305 21:00,0.412599042
20180305 22:00,0.338175017
20180305 23:00,0.220186967
20180306 00:00,0.068935802
20180306 01:00,0.111222569
20180306 02:00,0.017181309
20180306 03:00,0.044082306
20180306 04:00,0.039953272
20180306 05:00,0.032506858
20180306 06:00,0.066383219
20180306 07:00,0.157005091
20180306 08:00,0.184517868
20180306 09:00,0.189749912
20180306 10:00,0.204718278
20180306 11:00,0.216510506
20180306 12:00,0.210133772
20180306 13:00,0.234602302
20180306 14:00,0.335801714
20180306 15:00,0.402532703
20180306 16:00,0.443845953
20180306 17:00,0.381672627
20180306 18:00,0.376226272
20180306 19:00,0.373737467
20180306 20:00,0.441883155
20180306 21:00,0.39222284
20180306 22:00,0.334659329
20180306 23:00,0.290200949
20180307 00:00,0.226533918
20180307 01:00,0.211885329
20180307 02:00,0.214678547
20180307 03:00,0.20536084
20180307 04:00,0.186935166
20180307 05:00,0.179876574
20180307 06:00,0.195466157
20180307 07:00,0.217476379
20180307 08:00,0.221541082
20180307 09:00,0.169807149
20180307 10:00,0.10326224
20180307 11:00,0.061728801
20180307 12:00,0.053052456
20180307 13:00,0.029804
20180307 14:00,0.0253657
20180307 15:00,0.047075601
20180307 16:00,0.11111511
20180307 17:00,0.121770543
20180307 18:00,0.101910889
20180307 19:00,0.077106195
20180307 20:00,0.088837742
20180307 21:00,0.088398249
20180307 22:00,0.093718988
20180307 23:00,0.102139541
20180308 00:00,0.080138228
20180308 01:00,0.174220252
20180308 02:00,0.204769372
20180308 03:00,0.210305028
20180308 04:00,0.204831015
20180308 05:00,0.213355339
20180308 06:00,0.246538852
20180308 07:00,0.254791559
20180308 08:00,0.345100295
20180308 09:00,0.353007979
20180308 10:00,0.383768285
20180308 11:00,0.156536224
20180308 12:00,0.0805346
20180308 13:00,0.191330748
20180308 14:00,0.130355204
20180308 15:00,0.259337003
20180308 16:00,0.264671691
20180308 17:00,0.356584642
20180308 18:00,0.41889596
20180308 19:00,0.319509726
20180308 20:00,0.206809758
20180308 21:00,0.230522372
20180308 22:00,0.19150084
20180308 23:00,0.148207758
20180309 00:00,0.094112448
20180309 01:00,0.094513998
20180309 02:00,0.012376281
20180309 03:00,0.113922536
20180309 04:00,0.072789831
20180309 05:00,0.039789283
20180309 06:00,0.024211701
20180309 07:00,0.04184526
20180309 08:00,0.034267637
20180309 09:00,0.015344444
20180309 10:00,0.122772888
20180309 11:00,0.079644057
20180309 12:00,0.100032421
20180309 13:00,0.115250594
20180309 14:00,0.031480318
20180309 15:00,0.070423035
20180309 16:00,0.147304684
20180309 17:00,0.090027298
20180309 18:00,0.090188272
20180309 19:00,0.069220222
20180309 20:00,0.064158098
20180309 21:00,0.114561849
20180309 22:00,0.152571554
20180309 23:00,0.181830629
20180310 00:00,0.235097675
20180310 01:00,0.234610895
20180310 02:00,0.286809988
20180310 03:00,0.272202084
20180310 04:00,0.219963804
20180310 05:00,0.246626444
