iter	RMSE
0	0.2952801103
1	0.2801290553
2	0.2660931883
3	0.2532803605
4	0.2419859517
5	0.2312632647
6	0.2214289641
7	0.2124283221
8	0.2040876661
9	0.1965093549
10	0.1896869698
11	0.1836228733
12	0.1780163631
13	0.1728450916
14	0.1680981358
15	0.1637708016
16	0.1599637043
17	0.1565105017
18	0.1534958733
19	0.1505352224
20	0.1479507963
21	0.145590089
22	0.1436289037
23	0.1418183842
24	0.1402505666
25	0.1387207936
26	0.137436417
27	0.1361762255
28	0.1351616652
29	0.1342428777
30	0.1333104432
31	0.1324841285
32	0.1318443896
33	0.1311230724
34	0.1305504523
35	0.1299816994
36	0.1294485782
37	0.1290498092
38	0.1286699794
39	0.1283136766
40	0.1279846375
41	0.1277437342
42	0.1274810041
43	0.1272390744
44	0.1269813281
45	0.1267321904
46	0.1265208836
47	0.1263068063
48	0.1261735572
49	0.1260258064
50	0.125835306
51	0.1255740538
52	0.1253793977
53	0.1251353594
54	0.1249754168
55	0.1248810461
56	0.1247233763
57	0.1246371288
58	0.12453472
59	0.124424265
60	0.1243060883
61	0.1242130556
62	0.1241189482
63	0.1239788077
64	0.1238949569
65	0.1238278924
66	0.1237433433
67	0.1236454441
68	0.1235720932
69	0.1234285039
70	0.1233777159
71	0.1233144391
72	0.1232474752
73	0.1231660628
74	0.123098317
75	0.1230550103
76	0.1230202995
77	0.1229632197
78	0.1228501652
79	0.1228155463
80	0.1227766759
81	0.1226471401
82	0.1225854685
83	0.1225189987
84	0.1224394447
85	0.1223757336
86	0.1223019906
87	0.1222251869
88	0.1221851193
89	0.1221305603
90	0.1220481042
91	0.1220043831
92	0.1219439253
93	0.1218968814
94	0.1218028332
95	0.1217481581
96	0.1216919219
97	0.1216350289
98	0.121591449
99	0.1215440401
100	0.121463869
101	0.1214128716
102	0.1213661413
103	0.1213285244
104	0.1212143675
105	0.1211448772
106	0.1210740832
107	0.1210062403
108	0.1209261843
109	0.1208137004
110	0.1207278572
111	0.1206667392
112	0.1206313538
113	0.1205730022
114	0.1205265557
115	0.1204641673
116	0.1203977428
117	0.1203563326
118	0.1202817308
119	0.1202390646
120	0.1202102278
121	0.1201681561
122	0.1201224024
123	0.1200722575
124	0.1200168856
125	0.1199697888
126	0.1198858704
127	0.1198484702
128	0.119784927
129	0.1197071911
130	0.119647471
131	0.1196128078
132	0.1195568702
133	0.1195297021
134	0.1194448752
135	0.1194035763
136	0.1193364035
137	0.1192705319
138	0.1192237209
139	0.119195941
140	0.1191547973
141	0.1191211719
142	0.1190686341
143	0.1190238618
144	0.1189553477
145	0.1189155782
146	0.1188409235
147	0.118788423
148	0.1187301723
149	0.1186820894
150	0.1186339513
151	0.118615327
152	0.1185787594
153	0.1185304917
154	0.1184438976
155	0.1184013117
156	0.1183192552
157	0.118229293
158	0.1181801646
159	0.1181605364
160	0.1181133168
161	0.1180630749
162	0.1180287393
163	0.1179769712
164	0.1178904952
165	0.1178591073
166	0.1178304269
167	0.1177558661
168	0.1176802351
169	0.1176193514
170	0.1175924462
171	0.1175465129
172	0.1174706303
173	0.1174252186
174	0.1173761601
175	0.1172970334
176	0.1172546966
177	0.117216494
178	0.1171671078
179	0.1171070887
180	0.1170523393
181	0.1170201847
182	0.1169793753
183	0.1169403981
184	0.1169000604
185	0.1168437711
186	0.1168041134
187	0.1167702323
188	0.1167188869
189	0.1166976731
190	0.1166407313
191	0.1166228274
192	0.1165927057
193	0.1165595569
194	0.1165190781
195	0.1164861723
196	0.1164418217
197	0.1163990244
198	0.116353193
199	0.1162952181
200	0.116253361
201	0.1161884357
202	0.1161342279
203	0.1160883766
204	0.1160484403
205	0.1160006637
206	0.1159534867
207	0.1159121217
208	0.1158607966
209	0.1158260993
210	0.1157861819
211	0.1157400685
212	0.1157148599
213	0.1156605533
214	0.1155929825
215	0.1155433911
216	0.1155092164
217	0.115462486
218	0.1154243434
219	0.1153696243
220	0.1153209805
221	0.1152895093
222	0.1152497025
223	0.1152052168
224	0.1151625726
225	0.1151026145
226	0.1150739639
227	0.1150362955
228	0.1150052496
229	0.114954376
230	0.1149185107
231	0.1148390646
232	0.1148051544
233	0.1147669161
234	0.1147369118
235	0.1147073492
236	0.1146756341
237	0.1146260464
238	0.114592423
239	0.1145233588
240	0.1144898301
241	0.1144705859
242	0.1144364487
243	0.1143956927
244	0.1143547439
245	0.1143347936
246	0.1142905703
247	0.1142539818
248	0.1142128065
249	0.114177953
250	0.114144259
251	0.114116021
252	0.1140856515
253	0.1140164739
254	0.1139789088
255	0.1139363686
256	0.1139036688
257	0.1138664201
258	0.1138490935
259	0.1138196596
260	0.1137914614
261	0.1137585085
262	0.1137202045
263	0.1136776338
264	0.1136425351
265	0.1136020442
266	0.1135819155
267	0.1135386778
268	0.1135100413
269	0.1134809684
270	0.1134367414
271	0.1133987075
272	0.1133815154
273	0.1133251271
274	0.1132674234
