iter	Passed	Remaining
0	4	4655
1	8	4252
2	12	4136
3	16	4080
4	21	4207
5	25	4242
6	29	4202
7	33	4188
8	37	4091
9	40	3999
10	43	3900
11	46	3818
12	49	3760
13	52	3704
14	55	3659
15	58	3624
16	62	3600
17	65	3577
18	68	3552
19	71	3525
20	75	3505
21	78	3489
22	81	3465
23	84	3444
24	87	3425
25	91	3415
26	94	3399
27	97	3382
28	100	3368
29	103	3362
30	107	3358
31	111	3357
32	114	3353
33	117	3346
34	121	3346
35	124	3346
36	128	3335
37	131	3320
38	134	3311
39	137	3306
40	141	3300
41	144	3291
42	147	3283
43	150	3271
44	153	3262
45	157	3261
46	160	3258
47	164	3255
48	167	3256
49	171	3258
50	175	3264
51	178	3261
52	182	3255
53	185	3254
54	189	3255
55	192	3253
56	196	3250
57	199	3244
58	203	3241
59	206	3237
60	209	3230
61	213	3222
62	216	3219
63	220	3223
64	223	3221
65	227	3223
66	231	3222
67	234	3219
68	238	3213
69	241	3208
70	244	3203
71	248	3203
72	252	3201
73	255	3199
74	259	3196
75	262	3193
76	266	3191
77	269	3189
78	273	3189
79	277	3188
80	280	3187
81	284	3188
82	288	3187
83	292	3187
84	295	3183
85	299	3180
86	302	3175
87	305	3169
88	309	3164
89	312	3158
90	315	3154
91	319	3150
92	322	3147
93	326	3144
94	329	3140
95	333	3140
96	337	3137
97	340	3132
98	343	3126
99	346	3121
100	350	3116
101	353	3113
102	357	3112
103	360	3106
104	364	3103
105	367	3099
106	370	3094
107	374	3091
108	377	3088
109	381	3085
110	384	3083
111	389	3084
112	392	3081
113	395	3077
114	399	3074
115	402	3070
116	406	3065
117	409	3063
118	413	3060
119	416	3057
120	420	3052
121	423	3049
122	427	3046
123	430	3044
124	434	3040
125	437	3035
126	441	3032
127	444	3028
128	448	3026
129	451	3022
130	455	3018
131	458	3015
132	462	3017
133	466	3012
134	469	3007
135	472	3003
136	476	3000
137	479	2997
138	483	2992
139	486	2987
140	489	2982
141	492	2978
142	496	2974
143	499	2970
144	502	2965
145	506	2961
146	509	2957
147	513	2956
148	516	2952
149	520	2947
150	523	2943
151	526	2938
152	529	2932
153	533	2928
154	536	2925
155	540	2921
156	543	2918
157	546	2914
158	550	2910
159	553	2906
160	557	2902
161	560	2899
162	564	2897
163	567	2893
164	570	2889
165	574	2884
166	577	2880
167	580	2876
168	584	2875
169	588	2873
170	592	2871
171	595	2868
172	599	2865
173	602	2860
174	606	2856
175	609	2854
176	613	2851
177	617	2851
178	621	2849
179	624	2846
180	628	2844
181	632	2841
182	635	2837
183	638	2833
184	642	2829
185	645	2825
186	648	2821
187	652	2816
188	655	2812
189	658	2808
190	662	2804
191	665	2801
192	669	2798
193	672	2793
194	676	2790
195	679	2786
196	682	2783
197	686	2778
198	689	2775
199	692	2771
200	696	2767
201	699	2764
202	703	2762
203	707	2760
204	710	2757
205	714	2753
206	718	2750
207	722	2749
208	725	2746
209	729	2743
210	732	2740
211	736	2738
212	740	2735
213	744	2732
214	747	2729
215	751	2726
216	754	2723
217	758	2721
218	762	2718
219	765	2714
220	769	2711
221	773	2710
222	777	2707
223	780	2704
224	784	2700
225	788	2700
226	792	2697
227	795	2693
228	798	2689
229	801	2684
230	805	2681
231	808	2678
232	812	2674
233	815	2670
234	819	2666
235	823	2665
236	827	2662
237	831	2660
238	834	2658
239	838	2655
240	842	2651
241	845	2648
242	848	2644
243	853	2642
244	856	2639
245	859	2635
246	863	2631
247	866	2628
248	870	2626
249	874	2622
250	877	2618
251	881	2615
252	885	2614
253	889	2611
254	892	2608
255	896	2604
256	899	2600
257	903	2598
258	906	2594
259	910	2590
260	913	2586
261	917	2583
262	920	2579
263	923	2575
264	927	2571
265	930	2568
266	934	2565
267	938	2562
268	941	2559
269	945	2555
270	948	2552
271	952	2548
272	955	2544
273	959	2541
274	962	2537
275	966	2534
276	969	2530
277	973	2527
278	976	2523
279	980	2520
280	984	2518
281	987	2515
282	991	2512
283	995	2508
284	999	2506
285	1003	2504
286	1006	2500
287	1010	2497
288	1013	2494
289	1017	2490
290	1020	2486
291	1024	2483
292	1027	2479
293	1031	2476
294	1034	2473
295	1038	2470
296	1042	2468
297	1046	2465
298	1050	2461
299	1053	2458
300	1057	2454
301	1060	2450
302	1064	2447
303	1067	2444
304	1071	2440
305	1074	2437
306	1078	2433
307	1081	2430
