,house_connection
0,1258.9934874975602
1,1258.829082354626
2,1215.003201907344
3,1258.7965237454016
4,1258.7845928152703
5,1258.7866618851392
6,1258.7802686434502
7,1258.9891388319559
8,1259.2148355356458
9,1259.3392070219445
10,1215.5927653293052
11,1259.7288604599128
12,1259.4354125011603
13,2055.66217323806
14,4097.518019192351
15,4095.0557173205552
16,4094.957537187889
17,4092.6143674900063
18,4048.082778971935
19,4091.1468033225556
20,4088.4188763295015
21,4088.767162379925
22,4087.0436101694795
23,4085.3315901329465
24,4083.3534066181537
25,4084.243642233794
26,4040.886803879586
27,4086.9085693794314
28,4084.9116040774406
29,4084.8088439928415
30,4084.5738049482247
31,4085.7859778765164
32,4084.3489049085665
33,4084.50470544496
34,4040.2478584454343
35,4085.115169785432
36,4085.9828337013523
37,4084.7560976172726
38,4086.084893069134
39,4084.2779705834814
40,4083.7713428804377
41,4039.9930498595
42,4083.904258114507
43,4083.898559517865
44,4082.464831703831
45,4082.4065753680584
46,4081.355678401305
47,4082.7132367852173
48,4083.665806473478
49,4040.788756161739
50,4084.5168702109345
51,4086.6264272664657
52,4085.2242556263454
53,4084.38990699693
54,4089.19848435397
55,4087.5951031005643
56,4087.575641847161
57,4043.1699838710124
58,4087.5864560412483
59,4089.246203072746
60,4086.6869478433746
61,4086.201429379571
62,4087.3204094283296
63,4087.7939020399026
64,4086.5346955210407
65,4041.8255507937447
66,4086.6501914149308
67,4085.6206840774253
68,4086.178515942776
69,4085.032230732709
70,4085.2241241112374
71,4082.3140094845216
72,4082.571602683893
73,4039.6114849984065
74,4083.5438155716033
75,4083.8998307766556
76,4082.00821467736
77,4081.007718036225
78,4080.0280011897144
79,4079.5755703558766
80,4080.2963916959516
81,4035.422570431701
82,4081.134496228844
83,4081.8786953709723
84,4082.3848866870144
85,4083.680710290581
86,4082.591254466575
87,4082.610251096141
88,4081.94952163875
89,4040.5357789368763
90,4084.9354096804905
91,4084.21341674484
92,4121.421808678753
93,4163.517930366655
94,4139.566592021347
95,4139.691794641736
96,4140.485967696908
97,4098.0995380516215
98,4140.870791797202
99,4141.014194828342
100,4140.036199598611
101,4139.058672926182
102,4139.0121388522775
103,4139.773597887985
104,4139.798684749778
105,4094.8402737876695
106,4143.2349377742175
107,4146.927765649775
108,4145.359568307942
109,4145.411428575898
110,4145.16594188296
111,4146.128585677244
112,4144.670764254134
113,4099.6992402223295
114,4142.861257060091
115,4141.585579984807
116,4142.045918561697
117,4139.2452402760155
118,4136.263973578708
119,4132.406942494249
120,4132.112245322834
121,4097.28341791764
122,4146.820541327391
123,4144.654659904282
124,4145.1739263072595
125,4144.395342397806
126,4145.22343019471
127,4144.3533743516755
128,4144.134887204293
129,4098.974094310788
130,2782.655189072954
131,1308.2007137368007
132,1308.1983566615177
133,1308.343873031723
134,1308.2876588928611
135,1307.8492106574297
136,1307.603672678006
137,1263.6324053850344
138,1307.319852053173
139,1307.4318475043574
140,1307.5488020859761
141,1307.8138106330746
142,1307.703188592452
143,1307.6955787781785
144,1307.856362007383
145,1264.170991598834
146,1308.330273774947
147,1307.797971979026
148,1307.893621487453
149,1308.0851667704046
150,1308.375815291285
151,1308.1203012253181
152,1307.4256480289166
153,1263.2946294490762
154,1247.963498782716
155,1185.8908717213374
156,1185.3708550947415
157,1169.1074578345426
158,1156.4625827373325
159,1156.395478695399
160,1156.3432946534654
161,1112.5386653897708
162,1156.2198996829911
163,1156.1087926216126
164,1156.306117734147
165,1156.2089301789952
166,1141.1598459194515
167,1112.1887980182216
168,1112.3098421169916
169,1068.5068427811973
170,1112.214245630391
171,1112.2431168237033
172,1112.3446719446954
173,1112.4606889463953
174,1112.4352096754274
175,1112.2417228204524
176,1112.170017878521
177,1068.216939003446
178,1109.461298698613
179,1105.4725873996795
180,1105.4497173181371
181,2023.0527442206453
182,3965.675150834755
183,3958.419465515284
184,3949.5557360219
185,3895.3040761400516
186,3927.0760224701326
187,3917.1000560888306
188,3908.7938194466587
189,3897.6692868674104
190,3329.869424122551
191,1104.6658954174566
192,1104.7988721036659
193,1060.7855280094516
194,1104.735800759458
195,1104.8255598472406
196,1105.0157045002404
197,1105.1446865462924
198,1105.0173263078789
199,1104.932582472349
200,1104.904517419428
201,1060.9739315703525
202,1104.8910819222815
203,1104.855823304143
204,1104.8201382461577
205,1104.8529221515926
206,1104.9160067556559
207,1104.6732776004887
208,1104.55787522793
209,1060.6289405704688
210,1104.7166339243686
211,1104.8099639293496
212,1104.8070697604178
213,1104.8123604662949
214,1104.8219541487942
215,1104.894933419233
216,1105.0805850374982
217,1060.9959202179218
218,1104.824361043091
219,1104.7652069073688
220,1104.7500028586028
221,1104.7108198533153
222,1104.626516848028
223,1104.5798270601317
224,1104.688963707018
225,1060.6847006746384
226,1104.4637236094866
227,1104.3429157346336
228,1104.2610977728245
229,1104.2550455466499
230,1104.3048651194704
231,1104.3542334963108
232,1104.5304415253254
233,1060.6884218261334
234,1104.7077944625325
235,1104.5281323897339
236,1104.4131986647608
237,1104.2526846146843
238,1103.989694908064
239,1103.6122255547393
240,1059.683669717393
241,1103.481095500404
242,1103.5639507804653
243,1103.6621257127006
244,1103.6416463840665
245,1103.631436143481
246,1103.6983085928675
247,1103.794326955297
248,1060.199583999833
249,1103.926949540764
250,1103.8368947819354
251,1129.2010706318024
252,1128.3636356876993
253,1128.3153157464365
254,1122.518613712974
255,1122.2038010708156
256,1078.20037187633
257,1128.0726317707679
258,1129.1243271434664
259,1129.4559588639909
260,1123.659394270773
261,1123.3964869132988
262,1131.52352834324
263,1165.36159655579
264,1124.3692639949074
265,1157.506002790809
266,1166.8390376634502
267,1185.5990831723925
268,1189.5303759317483
269,1188.3305841046658
270,1182.9952945378982
271,1185.8845834086737
272,1138.7758180296632
273,1185.886636621717
274,1186.148873969457
275,1165.116269355498
276,1164.5584083326346
277,1162.6486555207084
278,1201.0058297822447
279,1224.9112268926424
280,1176.3121819647326
281,1224.062464947876
282,1221.3062799970496
283,1222.3501509275206
284,1221.4570538556616
285,1218.98657899046
286,1221.0904125898728
287,1216.8808794784507
288,1174.377037905688
289,1217.8071481860904
290,1214.5714141033657
291,1216.6673166362382
292,1214.1369407700759
293,1216.8068893720515
294,1216.598376074051
295,1213.3040551570032
296,1171.5185415054061
297,1214.4138330863204
298,1211.384413808941
299,1213.8787043728312
300,1210.8660824420188
301,1213.1277108340419
302,1212.9259661565075
303,1210.0633516377034
304,1168.1704484373963
305,1208.966195416905
306,1212.7438754241473
307,1211.7109814851135
308,1208.5338678356616
309,1211.1206439874868
310,1207.950907532385
311,1210.3201536583736
312,1167.3979822539216
313,1209.4118769258837
314,1210.7791697951816
315,1207.4736118708286
316,1209.9632631671825
317,1209.890048578556
318,1207.5709036210383
319,1210.5148972970615
320,1163.4893207651783
321,1209.4111736092987
322,1209.5449766920515
323,1206.8524240398149
324,1209.0893940772169
325,1211.46225673195
326,1215.4469668578554
327,1215.6206519458035
328,1169.5822599096907
329,1215.7063340249008
330,1209.7604025630192
331,1211.0534649451674
332,1210.7829594914494
333,1207.5270209223963
334,1209.8316932357745
335,1206.3800908493597
336,1165.030888146733
337,1209.314885591982
338,1206.8679246001175
339,1209.364396154837
340,1206.5185599221722
341,1208.7575471307998
342,1208.6064624159671
343,1206.57849115923
344,1165.4741336626755
345,1206.4983574265987
346,1209.1793731989421
347,1209.2148440023416
348,1206.158903172003
349,1208.9234898559785
350,1206.6808862489547
351,1208.9031932837524
352,1164.6772344256628
353,1206.2289461726348
354,1208.8199560236533
355,1206.1362077794336
356,1208.1365074828889
357,1195.810874526343
358,1162.6393935600036
359,1165.5933103327943
360,1122.4629342691464
361,1163.87698679349
362,1165.4848571591035
363,1161.7434345944205
364,1164.172788075806
365,1165.0961030408973
366,1162.8156119621876
367,1164.3079874065975
368,1117.8522179809013
369,1164.5725540716066
370,1165.4218086564395
371,1162.7897223717066
372,1163.852643141293
373,1161.6422997274362
374,1163.7675421869076
375,1163.4151340183596
376,1116.897886810225
377,1163.7301143588995
378,1161.5358518210107
379,1164.1129911023077
380,1163.6582192537523
381,1161.1022246937796
382,1165.1067723841195
383,1162.853337675564
384,1121.058997054908
385,1165.1018085794226
386,1163.661484320021
387,1168.3901092145184
388,1169.186183352223
389,1172.432983325843
390,1172.2299969398664
391,1169.9597178140693
392,1128.9956527996155
393,1170.639559526491
394,1173.76619129518
395,1174.5189620231513
396,1172.254186063218
397,1173.9237221870992
398,1171.0198875757305
399,1173.476319857392
400,1129.3722957977743
401,1171.209386200434
402,1174.4341251808337
403,1170.5883245891148
404,1173.3202891484095
405,1173.9623646551124
406,1171.8187808302507
407,1174.1844920612893
408,1127.8650242032877
409,1174.3538084596878
410,1173.5734210841474
411,1170.9556089779333
412,1173.4117434638201
413,1170.551613184265
414,1173.3044729440994
415,1173.4186929772256
416,1127.3353009248174
417,1173.4722985684116
418,1170.3884858130818
419,1173.6884121771452
420,1174.265952367136
421,1170.8286563188612
422,1174.4754265511547
423,1173.6483596847593
424,1126.0144713636505
425,1172.7773104901319
426,1169.676744325395
427,1172.6667699260136
428,1172.6626978136367
429,1170.2307491998708
430,1173.7025381803426
431,1170.5948827660595
432,1129.6312479718677
433,1173.952393833973
434,1171.610015352747
435,1174.4691329046475
436,1171.318968429102
437,1174.3677494300348
438,1174.27345033711
439,1127.109906887564
440,1173.6599102222638
441,1171.2690603286273
442,1173.7317089884757
443,1173.5093758650255
444,1170.970348635725
445,1173.9527564968596
446,1170.4313661863168
447,1131.0351789195195
448,1175.1605159449907
449,1171.032946457622
450,1173.0162067783967
451,1160.7704009264444
452,1146.8423566190543
453,1136.947434797745
454,1135.0663258018328
455,1093.0082532025067
456,1147.251825450592
457,1133.3568683867209
458,1119.7099739895166
459,1119.6876814013574
460,1119.7289313257609
461,1114.6989738129787
462,1101.6194163001965
463,1109.0651065819422
464,1155.575987812081
465,1157.9237887391166
466,1155.3489991899621
467,1157.587161702704
468,1157.7673078159887
469,1121.9084511694425
470,1101.8609278562294
471,1058.0317267253565
472,1101.9627265995089
473,1101.912620946023
474,1132.8143375147595
475,1157.4394061453925
476,1156.3002523304647
477,1159.324545783623
478,1159.245499554242
479,1227.6492690351583
480,1216.5376455017968
481,1214.816379762166
482,1217.3637616415829
483,1216.027035265436
484,1212.885430114463
485,1213.6761997580973
486,1212.660258290621
487,1165.0392644820743
488,1209.3428948738942
489,1207.2735765219957
490,1208.5281502335895
491,1207.882165215024
492,1205.6526690853477
493,1207.832906289005
494,1204.8104704767889
495,1162.1406857294207
496,1205.8068453068515
497,1203.413887041098
498,1204.9498303626463
499,1202.9359188225847
500,1204.7127359735975
501,1204.261319671631
502,1201.8727224172837
503,1160.083098027258
504,1201.817952986359
505,1203.9842355597218
506,1204.0955847997511
507,1201.8322315750759
508,1203.489237415568
509,1201.2740551089753
510,1202.7614886753986
511,1158.3514424300647
512,1199.8715977002446
513,1201.485758821832
514,1200.344577666099
515,1202.5637915251716
516,1202.1203279973097
517,1199.8330397266864
518,1202.3858593925706
519,1155.5899399023572
520,1201.1676998250814
521,1200.9502646293563
522,1198.6274008622026
523,1200.35463408795
524,1198.235475800576
525,1200.6608478474132
526,1200.5678706879007
527,1154.017692475505
528,1200.4320497022095
529,1198.259961431586
530,1200.0130033196924
531,1200.4083351655245
532,1199.6563441430465
533,1200.2397533917658
534,1197.720648354771
535,1156.207058831854
536,1200.158727664206
537,1197.532391774535
538,1199.7254273134351
539,1197.686130204972
540,1199.7039101962932
541,1199.5577448418376
542,1198.016881074684
543,1156.7486408378804
544,1197.772047757494
545,1199.5637590242397
546,1199.5759401322557
547,1196.678290914037
548,1198.8372277635824
549,1199.2855587025736
550,1145.3322227948129
551,1101.4794752574755
552,1145.3986412879776
553,1145.425059579786
554,1104.8990098715944
555,1101.4033117412923
556,1139.6672590432308
557,1152.8446478383496
558,1155.219941395373
559,1111.663385227582
560,1153.0731316840233
561,1154.76448873311
562,1152.604861655213
563,1148.4242694341397
564,1101.2392050107849
565,1101.4399770714379
566,1101.6407491320904
567,1057.8753704389742
568,1106.180720181688
569,1155.974701271614
570,1152.9988029964609
571,1155.453679324482
572,1153.7876350175827
573,1155.4567589646517
574,1155.2558448164825
575,1109.6133173956005
576,1155.9333206598903
577,1153.2306459629456
578,1155.4205426945723
579,1155.732915616675
580,1153.5392313959208
581,1155.1834963815156
582,1153.7715460073562
583,1111.7746255692168
584,1155.1874643890474
585,1153.352447932496
586,1155.2665870315004
587,1152.7222263299143
588,1155.3631522838282
589,1158.3881086437402
590,1160.0185570671442
591,1116.019363407115
592,1156.2380397957422
593,1158.3194968176947
594,1158.8121284428216
595,1157.4108293349182
596,1161.1439062340341
597,1158.4678666299994
598,1160.4110714704093
599,1116.3801122524317
600,1157.752349939615
601,1160.0018069615676
602,1157.0157147771706
603,1161.5783572182822
604,1163.9476749405615
605,1158.9868045157561
606,1162.5100928211098
607,1117.7751443234004
608,1165.7475852170924
609,1166.6824780530353
610,1163.5219169207244
611,1162.696700384409
612,1158.1061291380356
613,1152.3891453208719
614,1153.1753615037078
615,1107.3223249147484
616,1152.435770754815
617,1151.6965810644917
618,1149.4265612256072
619,1151.6492928902726
620,1150.0200656492984
621,1151.487936948645
622,1151.0256304702136
623,1105.4907906265435
624,1152.1595442422336
625,1149.117911673031
626,1150.8189267228759
627,1150.797124160852
628,1148.724232725892
629,1150.7366174175972
630,1149.9159417918418
631,1108.054533423006
632,1151.769882268815
633,1149.9819485749415
634,1152.4452085318617
635,1150.097439917353
636,1153.8960395568129
637,1155.8920233232566
638,1109.372089629383
639,1151.4430212461898
640,1149.0587864276451
641,1151.3676182757674
642,1151.4221072667467
643,1149.1233281074508
644,1151.0833490438715
645,1150.7094271231495
646,1110.0305327209724
647,1154.2173534659598
648,1153.3953862074375
649,1160.6343268854234
650,1156.5130665264783
651,1161.4446229947002
652,1165.0404775630702
653,1161.2433755656327
654,1117.0750005044638
655,1156.3662552430874
656,1154.5768094951513
657,1147.9585573980087
658,1142.327930825314
659,1158.2297707438051
660,1160.4970288325126
661,1163.2912900958231
662,1119.167159654579
663,1160.7256035453124
664,1163.3310149402334
665,1160.402546970075
666,1163.3031581097516
667,1164.3212278758938
668,1161.6166719421078
669,1161.4978493416552
670,1113.0127101104295
671,1160.2964194394656
672,1163.4115532560186
673,1160.3716648503494
674,1158.1750155928019
675,1158.9795232627487
676,1225.761579709915
677,1219.46337488724
678,1167.8758525340554
679,1210.2965068100484
680,1214.8155844090054
681,1216.625836611137
682,1216.9941203997726
683,1210.2168060708364
684,1214.2426156471404
685,1214.5531084638694
686,1167.8136968727024
687,1214.9640314372427
688,1211.9848521148883
689,1214.5890188242802
690,1214.0810894022209
691,1210.3110865335634
692,1211.6984732158353
693,1210.789510691758
694,1168.0773660986056
695,1212.9392207716248
696,1211.9501611589299
697,1212.2903269430606
698,1207.9227385276215
699,1207.2508627707134
700,1205.2729632441637
701,1202.847451019201
702,1161.6661826165246
703,1203.1056765652875
704,1204.5554813699173
705,1203.9782893491504
706,1201.3280418286624
707,1202.5699655134072
708,1201.205517275044
709,1202.6050626874746
710,1157.6797697813286
711,1199.451064416061
712,1202.0800538103058
713,1199.5740844743914
714,1201.6397224448503
715,1202.3603056494164
716,1201.1748406127763
717,1202.126880338041
718,1155.684804724708
719,1201.2958220751557
720,1201.1858178325692
721,1199.2483261299424
722,1201.9182980310488
723,1199.2102798228784
724,1200.6291146417484
725,1200.2264510479197
726,1154.3683544477897
727,1200.856944168151
728,1198.135135005207
729,1200.3535925089295
730,1200.7485219915943
731,1198.1427422455763
732,1200.0199662165555
733,1198.842313997059
734,1157.876615674029
735,1201.052639517386
736,1198.0272693749414
737,1199.7403182801158
738,1200.540352971363
739,1199.7207553103733
740,1202.6852545465676
741,1199.1818934653018
742,1156.4418451382835
743,1199.626039261612
744,1197.2864568514797
745,1199.6030776159505
746,1196.9954438059617
747,1199.7368263794776
748,1199.5545800465566
749,1177.734720062842
750,1111.8177694338376
751,1153.5259834024241
752,1155.3461679221791
753,1155.2731397435216
754,1153.5051505523372
755,1156.315221698071
756,1154.0170769177212
757,1155.6934805183243
758,1112.1972992817255
759,1154.7096578753888
760,1157.0549625007986
761,1153.7717424912873
762,1155.7457355547604
763,1155.6554869218146
764,1153.1924441594917
765,1155.2995942225657
766,1109.3164206273484
767,1156.0815849959183
768,1157.0133703423933
769,1154.6591112444241
770,1154.708324843272
771,1152.3753236538935
772,1155.2902237806193
773,1155.7858286692497
774,1109.554618211306
775,1155.2454576217517
776,1152.4308982924672
777,1154.3038246774681
778,1155.0558032440122
779,1154.0604121686958
780,1155.3512333610672
781,1155.0116101089939
782,1113.8533196478597
783,1156.5238338130316
784,1153.543798787807
785,1156.802824080043
786,1159.6765831682426
787,1160.6804170749792
788,1155.548876791569
789,1153.7576273502514
790,1112.3923755767635
791,1153.9278659265904
792,1155.76012047838
793,1155.5380829666772
794,1153.7534544044838
795,1156.612528833437
796,1156.56406771162
797,1159.6495875421845
798,1114.2910195048375
799,1154.7237690075722
800,1155.7213441942822
801,1155.8920685873416
802,1153.6921326629404
803,1155.434571341714
804,1153.8279497030271
805,1156.9335375881496
806,1112.7524869154036
807,1154.0542849624471
808,1156.6446193419463
809,1154.3340862293824
810,1156.715924042558
811,1156.9867289652495
812,1155.373730904771
813,1158.5341487173087
814,1112.1987730226276
815,1156.9211056792267
816,1156.4379715734426
817,1154.3907612771823
818,1156.442013324385
819,1154.6762162529792
820,1163.956869911413
821,1163.795694998418
822,1111.8764227796544
823,1156.9405682319345
824,1156.9251117083927
825,1157.522159121359
826,1156.1571690689027
827,1154.3342559927564
828,1157.3090571066082
829,1160.2791788553802
830,1116.5957864620132
831,1157.2363931114792
832,1154.6185955494116
833,1156.080423384169
834,1153.9470766157522
835,1155.7462123870177
836,1155.4797291106643
837,1110.2971209878563
838,1159.396983440146
839,1162.8909355789635
840,1161.539884543178
841,1155.4352398565989
842,1153.039320670538
843,1155.1841380881303
844,1152.957831696199
845,1111.0254046693472
846,1154.7097581801036
847,1152.6856250353605
848,1155.331466493792
849,1153.4364042910609
850,1156.4834711782235
851,1156.5820291717112
852,1152.6931966890086
853,1111.4044381952986
854,1152.9086690610843
855,1154.6871345603547
856,1154.52484450407
857,1152.4975927490973
858,1265.9980807879745
859,1210.5145699531297
860,1212.3712265468564
861,1168.535654664871
862,1209.436526812558
863,1210.2240496103204
864,1209.3682708207818
865,1206.587996474092
866,1208.0676930295317
867,1204.9400312695855
868,1206.9613599858294
869,1162.9046772160718
870,1204.3343627002826
871,1206.3224369856418
872,1203.111127144017
873,1204.7345180441966
874,1204.7408826382423
875,1202.4372961435106
876,1203.9015382202078
877,1157.7594373121397
878,1205.1790134879034
879,1206.2752256371855
880,1203.375310802341
881,1203.469046282563
882,1200.7376889973714
883,1202.4578367612346
884,1202.7446067473197
885,1157.100904658746
886,1202.7477215779093
887,1200.2598221534497
888,1202.6501703480378
889,1207.4344233045306
890,1209.486396895944
891,1207.0712631820722
892,1200.6302361940327
893,1157.383792672025
894,1201.260554382529
895,1199.355775214035
896,1201.1659103312552
897,1199.3546495164344
898,1201.1562409629198
899,1200.5016849100036
900,1198.1511161586748
901,1156.4951974831215
902,1197.9154327837987
903,1200.2449511027417
904,1200.830583707399
905,1198.897663931104
906,1200.04272510719
907,1198.2546815213711
908,1200.1853490466635
909,1155.9871357232678
910,1198.0631492803063
911,1199.7468281480249
912,1197.4393832062199
913,1199.751011758871
914,1199.8658748333378
915,1197.8681931522808
916,1201.1045559156682
917,1156.138886933024
918,1202.082113922303
919,1200.671146989591
920,1197.2787514854506
921,717.0696115927002
922,101.20664807388303
923,103.20237773525253
924,102.39747882519345
925,100.01692350667
926,102.16431420621053
927,102.34064155087778
928,407.697622863799
929,1200.0905406846568
930,1197.7731346959906
931,1188.414846167642
932,804.8145973218329
933,56.893286571262166
934,59.71546788418338
935,56.479266593929985
936,58.34763222431151
937,58.141468140407326
938,56.15123510412218
939,59.07800054402752
940,57.164349285520146
941,58.46993377304453
942,57.93279914945781
943,55.87280903380759
944,58.291538029268466
945,55.978912294570634
946,58.82339741701565
947,58.81813041247654
948,55.99170220158823
949,57.96540897482689
950,56.48656641473223
951,58.53038582289154
952,58.10265202470164
953,55.84283733762284
954,58.31217985689325
955,55.743896026957316
956,58.385224895434085
957,58.64353484327593
958,56.07697729905428
959,58.10306972308659
960,56.04943712654963
961,57.82212783614832
962,57.56943455761711
963,55.8950784854351
964,58.952115238649924
965,56.34238869027744
966,58.594819919682735
967,58.470863149088025
968,55.50627850547744
969,57.79185494123194
970,55.92696718651025
971,54.5921111778203
972,53.75271053420972
973,57.33973554139279
974,57.56400734222666
975,52.161823397028776
976,56.92748967405312
977,63.642665411394916
978,65.35842432333989
979,68.47099923528486
980,66.06336227421397
981,65.78334436076211
982,59.11590492350075
983,49.35538707354097
984,50.095754810882774
985,47.765651056161076
986,49.2890363173124
987,47.78287002290817
988,41.07928855390077
989,40.010150830925106
990,40.076151711124055
991,40.41607195640236
992,45.11948731279179
993,48.06720368505423
994,54.698608008874835
995,56.23018179360457
996,54.1138427388117
997,57.446697080844224
998,58.03923561335293
999,57.838857510941004
1000,52.32441426567194
1001,48.12134479818065
1002,52.33005710846715
1003,47.3467663711346
1004,48.25343893538934
1005,48.458313277421865
1006,46.9410025400893
1007,46.69551967577262
1008,34.69750982732895
1009,32.790233185234484
1010,33.98712892409241
1011,38.80989602802969
1012,52.27391862403047
1013,54.21706198193601
1014,62.04732349857171
1015,65.803575618382
1016,63.82806005565262
1017,66.13216919133595
1018,65.10364835876528
1019,68.20297254206766
1020,67.76620078886208
1021,63.83061633724381
1022,63.72249220308586
1023,60.259852132419965
1024,64.13560171254773
1025,65.34523865775485
1026,62.3066818251842
1027,64.4815996592802
1028,63.165557973985635
1029,62.459111833707745
1030,58.45302080006656
1031,55.2439232902349
1032,57.19424425659373
1033,54.144019889619216
1034,55.70876364962883
1035,56.53359725090828
1036,55.97380202679092
1037,57.34719931061005
1038,59.344702626175234
1039,60.5425424496769
1040,55.364234844607154
1041,52.45101765223581
1042,59.88852096780098
1043,81.16142066431853
1044,120.40510042432814
1045,112.39747923195681
1046,101.07768661101404
1047,98.04819875197603
1048,94.04006962309677
1049,96.07567382755082
1050,96.8547256510525
1051,90.99092033169704
1052,92.10416898059555
1053,90.30873826441467
1054,87.17158056410682
1055,88.39599111776724
